,IATA_CODE,AIRPORT,CITY,STATE,COUNTRY
284,SJT,San Angelo Regional Airport (Mathis Field),San Angelo,TX,USA
285,SJU,Luis Muñoz Marín International Airport,San Juan,PR,USA
286,SLC,Salt Lake City International Airport,Salt Lake City,UT,USA
287,SMF,Sacramento International Airport,Sacramento,CA,USA
288,SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),Santa Maria,CA,USA
289,SNA,John Wayne Airport (Orange County Airport),Santa Ana,CA,USA
290,SPI,Abraham Lincoln Capital Airport,Springfield,IL,USA
291,SPS,Wichita Falls Municipal Airport/Sheppard AFB,Wichita Falls,TX,USA
292,SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,USA
293,STC,St. Cloud Regional Airport,St Cloud,MN,USA
294,STL,St. Louis International Airport at Lambert Field,St Louis,MO,USA
295,STT,Cyril E. King Airport,Charlotte Amalie,VI,USA
296,STX,Henry E. Rohlsen Airport,Christiansted,VI,USA
297,SUN,Friedman Memorial Airport,Hailey,ID,USA
298,SUX,Sioux Gateway Airport,Sioux City,IA,USA
299,SWF,Stewart International Airport,Newburgh,NY,USA
300,SYR,Syracuse Hancock International Airport,Syracuse,NY,USA
301,TLH,Tallahassee International Airport,Tallahassee,FL,USA
302,TOL,Toledo Express Airport,Toledo,OH,USA
303,TPA,Tampa International Airport,Tampa,FL,USA
304,TRI,Tri-Cities Regional Airport,Bristol,TN,USA
305,TTN,Trenton Mercer Airport,Trenton,NJ,USA
306,TUL,Tulsa International Airport,Tulsa,OK,USA
307,TUS,Tucson International Airport,Tucson,AZ,USA
308,TVC,Cherry Capital Airport,Traverse City,MI,USA
309,TWF,Magic Valley Regional Airport (Joslin Field),Twin Falls,ID,USA
310,TXK,Texarkana Regional Airport (Webb Field),Texarkana,AR,USA
311,TYR,Tyler Pounds Regional Airport,Tyler,TX,USA
312,TYS,McGhee Tyson Airport,Knoxville,TN,USA
313,UST,Northeast Florida Regional Airport (St. Augustine Airport),St. Augustine,FL,USA
314,VEL,Valdez Airport,Vernal,UT,USA
315,VLD,Valdosta Regional Airport,Valdosta,GA,USA
316,VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,USA
317,WRG,Wrangell Airport,Wrangell,AK,USA
318,WYS,Westerly State Airport,West Yellowstone,MT,USA
319,XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,USA
320,YAK,Yakutat Airport,Yakutat,AK,USA
321,YUM,Yuma International Airport,Yuma,AZ,USA
